server_name,fund_name,trade_type,ticker_type,ratio
huabao,steady_return,Commodity_Future,,0
huabao,steady_return,Index_Future,SHSZ300,0.5
huabao,steady_return,Index_Future,,1
huabao,steady_return,TreasuryBond_Future,,0
huabao,absolute_return,Commodity_Future,,0
huabao,absolute_return,Index_Future,,1
huabao,absolute_return,TreasuryBond_Future,,0
guoxin,steady_return,Commodity_Future,,0.25
guoxin,steady_return,Index_Future,,0
guoxin,steady_return,TreasuryBond_Future,,0.25
guoxin,absolute_return,Commodity_Future,,0.25
guoxin,absolute_return,Index_Future,,0
guoxin,absolute_return,TreasuryBond_Future,,0.25
zhongxin,steady_return,Commodity_Future,,0.75
zhongxin,steady_return,Index_Future,SHSZ300,0.5
zhongxin,steady_return,Index_Future,,0
zhongxin,steady_return,TreasuryBond_Future,,0.75
zhongxin,absolute_return,Commodity_Future,,0.75
zhongxin,absolute_return,Index_Future,,0
zhongxin,absolute_return,TreasuryBond_Future,,0.75
zhongxin,hongyuan01,Commodity_Future,wr,0
zhongxin,hongyuan01,Commodity_Future,fu,0
zhongxin,hongyuan01,Commodity_Future,b,0
zhongxin,hongyuan01,Commodity_Future,JR,0
zhongxin,hongyuan01,Commodity_Future,LR,0
zhongxin,hongyuan01,Commodity_Future,SF,0
zhongxin,hongyuan01,Commodity_Future,SM,0
zhongxin,hongyuan01,Commodity_Future,RI,0
zhongxin,hongyuan01,Commodity_Future,PM,0
zhongxin,hongyuan01,Commodity_Future,RS,0